Workout_Date,Distance,Avg_Speed,Workout_Time,Total_Calories,Heart_Rate,RPM,Level
2016-01-29,5.5,16.5,20,136.0,144.0,77,5
2016-01-30,8.1,16.3,30,197.0,143.9,74,5
2016-02-01,8.4,16.9,30,215.0,121.8,76,6
2016-02-04,5.4,16.2,20,132.0,127.5,71,6
2016-02-06,6.3,17.9,21,173.0,167.0,77,7
2016-02-06,4.2,16.4,15,103.0,145.7,71,6
2016-02-07,8.4,16.8,30,211.0,144.6,76,6
2016-02-09,8.4,16.7,30,210.0,128.8,72,6
2016-02-11,8.6,17.2,30,226.0,126.7,70,7
2016-02-13,11.4,17.0,40,291.0,156.9,75,6
2016-02-15,9.7,16.6,35,239.0,133.0,76,5
2016-02-23,9.0,17.4,31,236.0,133.0,77,6
2016-03-01,9.2,17.4,31,244.0,129.6,75,7
2016-03-05,8.4,16.9,30,211.0,135.4,80,5
2016-03-06,8.3,16.7,30,205.0,134.0,78,5
2016-03-07,8.6,17.3,30,229.0,146.1,79,6
2016-03-15,8.8,17.6,30,239.0,154.2,85,6
2016-03-26,9.0,17.9,30,247.0,145.3,86,6
2016-04-09,9.1,18.3,30,261.0,151.8,79,7
2016-04-10,8.7,17.3,30,228.0,139.6,77,6
2016-05-08,8.4,16.9,30,213.0,124.0,83,5
2016-05-15,8.5,16.9,30,214.0,139.8,77,6
2016-05-21,6.3,17.6,21,169.0,143.9,84,6
2016-06-02,2.8,16.9,10,72.0,134.0,70,6
2016-06-03,4.4,17.3,15,114.0,141.9,76,6
2016-06-05,5.3,15.9,20,122.0,121.3,75,4
2016-08-20,8.5,17.0,30,219.0,142.6,80,6
2016-10-22,8.4,16.7,30,208.0,147.1,79,5
2016-11-26,8.6,17.2,30,223.0,124.4,75,6
2016-12-31,8.2,16.3,30,203.0,120.7,77,5
2017-03-26,7.6,16.8,26,193.0,117.5,75,6
2017-03-26,2.3,16.5,8,55.0,118.8,81,5
2017-12-22,5.2,16.6,18,129.0,136.9,77,5
2017-12-26,5.2,16.0,19,121.0,134.2,74,5
2017-12-28,5.6,16.9,20,142.0,151.0,80,5
2017-12-29,10.0,16.7,35,247.0,135.1,79,5
2018-02-05,4.3,16.5,15,105.0,120.5,76,5
2018-02-12,8.2,16.5,30,202.0,123.5,76,5
2018-02-16,5.7,17.0,20,146.0,133.9,76,6
2018-02-18,8.2,16.5,30,199.0,123.9,75,5
2018-02-19,4.2,16.8,15,105.0,131.7,81,5
2019-05-02,5.4,16.3,20,132.0,129.1,72,6
2019-05-04,8.2,16.4,30,199.0,135.2,75,5
2019-05-08,8.3,16.6,30,211.0,123.0,79,5
2019-05-12,5.5,16.4,20,137.0,124.7,78,5
2019-06-08,8.2,16.4,30,204.0,115.9,74,6
2019-07-22,8.6,17.3,30,231.0,146.1,77,6
2019-12-06,9.5,16.0,35,230.0,138.0,75,5
2019-12-19,11.8,16.4,28,266.0,128.5,75,6
2019-12-22,8.2,16.5,30,203.0,141.1,78,5
2019-12-23,9.3,16.4,33,225.0,131.8,75,5
2019-12-29,8.1,16.2,30,193.0,134.3,74,5
2020-01-02,8.6,17.2,30,226.0,159.2,83,5
2020-01-04,8.1,16.3,30,198.0,162.2,75,5
2020-01-06,8.6,17.2,30,227.0,148.7,70,7
2020-01-11,8.3,16.7,30,205.0,147.0,78,5
2020-01-13,9.5,16.2,35,228.0,125.2,74,5
2020-01-17,10.0,17.0,35,260.0,152.7,85,5
2020-01-21,10.0,16.6,36,247.0,133.4,78,5
2020-01-24,10.0,17.6,34,270.0,148.4,86,6
2020-02-07,10.0,17.8,33,278.0,132.7,79,7
2020-03-10,10.0,18.3,34,273.0,134.9,82,7
2020-03-18,8.3,16.6,30,211.0,123.0,79,5
2020-03-22,5.5,16.4,20,137.0,124.7,78,5
2020-03-28,8.2,16.4,30,204.0,115.9,74,6
2020-05-05,6.1,18.3,20,173.0,154.9,82,7
2020-05-06,10.0,17.9,33,281.0,151.8,81,7
2020-06-11,4.8,17.1,16,133.0,140.9,72,7
2020-06-14,8.9,17.7,30,251.0,138.8,75,7
2020-06-17,10.0,17.0,35,266.0,127.6,76,6
2020-07-25,10.0,18.5,32,294.0,156.9,82,7
2021-01-30,13.6,18.1,45,386.0,140.2,67,9
2021-02-10,4.9,19.4,15,155.0,161.3,61,12
2021-03-11,0.9,18.3,2,25.0,0.0,72,8
2021-04-03,1.7,19.0,5,52.0,0.0,67,10
2021-04-07,8.7,17.4,30,237.0,121.8,71,7
2021-04-08,8.5,17.0,30,227.0,120.7,68,7
2021-05-05,8.7,17.3,30,237.0,134.6,71,7
2021-06-23,9.3,18.5,30,278.0,133.4,64,10
2021-12-26,1.8,18.6,5,54.0,0.0,70,9
2021-12-26,3.2,18.8,10,100.0,154.2,67,10
2022-01-21,9.0,17.9,30,256.0,130.6,67,9
2022-01-24,0.5,16.2,1,13.0,117.0,65,6
2022-01-24,8.8,17.5,30,242.0,137.7,66,8
2022-01-30,13.4,17.9,45,382.0,142.7,69,8
2022-11-27,3.6,17.8,12,96.0,140.1,67,8
2022-11-29,5.9,17.8,20,179.0,137.3,73,8
